Date,Category,Amount,Note
2024-09-01,Food,450,Lunch at restaurant
2024-09-01,Transport,120,Auto rickshaw
2024-09-02,Shopping,2500,New shirt and jeans
2024-09-02,Food,280,Grocery shopping
2024-09-03,Bills,1800,Electricity bill
2024-09-03,Entertainment,600,Movie tickets
2024-09-04,Food,320,Breakfast and coffee
2024-09-04,Transport,80,Bus fare
2024-09-05,Shopping,1200,Books and stationery
2024-09-05,Food,380,Dinner with friends
2024-09-06,Bills,2200,Internet and cable
2024-09-06,Transport,150,Cab ride
2024-09-07,Entertainment,800,Concert tickets
2024-09-07,Food,220,Street food
2024-09-08,Shopping,3500,Mobile accessories
2024-09-08,Other,500,Gift for friend
2024-09-09,Food,340,Restaurant meal
2024-09-09,Transport,100,Metro travel
2024-09-10,Bills,1500,Phone bill
2024-09-10,Entertainment,450,Gaming subscription